fold,accuracy,precision,recall,roc_auc
0,0.6666666666666666,0.7857142857142857,0.55,0.740625
1,0.7777777777777778,0.8,0.8,0.8875
2,0.6944444444444444,0.6956521739130435,0.8,0.659375
3,0.6388888888888888,0.6521739130434783,0.75,0.63125
0,0.6666666666666666,0.7857142857142857,0.55,0.740625
1,0.7777777777777778,0.8,0.8,0.8875
2,0.6944444444444444,0.6956521739130435,0.8,0.659375
3,0.6388888888888888,0.6521739130434783,0.75,0.63125
4,0.7714285714285715,0.8333333333333334,0.75,0.8833333333333333
None,0.7098412698412698,0.7533747412008283,0.7300000000000001,0.7604166666666666
None,0.05575610062012773,0.0680979291128097,0.09273618495495704,0.10820705781561159
